round,client_id,domain_idx,rsum_i,n_fold_i2t_r1,n_fold_t2i_r1,i2t_r1,t2i_r1,n_fold_i2t_r5,n_fold_t2i_r5,i2t_r5,t2i_r5
0,10,0,45.390709800460556,10.123456790123457,10.123456790123457,12.57189811010682,12.57189811010682,45.02057613168724,45.02057613168724,42.15283483976992,42.15283483976992
0,10,1,39.31277200151131,9.03765690376569,9.03765690376569,10.618729096989966,10.618729096989966,41.50627615062761,41.50627615062761,41.38795986622073,41.38795986622073
0,10,2,51.590018684829126,11.27659574468085,11.27659574468085,14.51841359773371,14.51841359773371,56.31205673758865,56.31205673758865,37.18130311614731,37.18130311614731
0,10,3,47.85245934113824,11.549295774647886,11.549295774647886,12.376933895921237,12.376933895921237,48.38028169014085,48.38028169014085,47.257383966244724,47.257383966244724
0,10,4,44.74436689930209,13.1,13.1,9.272183449651047,9.272183449651047,42.2,42.2,28.11565304087737,28.11565304087737
0,11,0,45.390709800460556,10.123456790123457,10.123456790123457,12.57189811010682,12.57189811010682,45.02057613168724,45.02057613168724,42.15283483976992,42.15283483976992
0,11,1,39.31277200151131,9.03765690376569,9.03765690376569,10.618729096989966,10.618729096989966,41.50627615062761,41.50627615062761,41.38795986622073,41.38795986622073
0,11,2,51.590018684829126,11.27659574468085,11.27659574468085,14.51841359773371,14.51841359773371,56.31205673758865,56.31205673758865,37.18130311614731,37.18130311614731
0,11,3,47.85245934113824,11.549295774647886,11.549295774647886,12.376933895921237,12.376933895921237,48.38028169014085,48.38028169014085,47.257383966244724,47.257383966244724
0,11,4,44.74436689930209,13.1,13.1,9.272183449651047,9.272183449651047,42.2,42.2,28.11565304087737,28.11565304087737
0,12,0,45.390709800460556,10.123456790123457,10.123456790123457,12.57189811010682,12.57189811010682,45.02057613168724,45.02057613168724,42.15283483976992,42.15283483976992
0,12,1,39.31277200151131,9.03765690376569,9.03765690376569,10.618729096989966,10.618729096989966,41.50627615062761,41.50627615062761,41.38795986622073,41.38795986622073
0,12,2,51.590018684829126,11.27659574468085,11.27659574468085,14.51841359773371,14.51841359773371,56.31205673758865,56.31205673758865,37.18130311614731,37.18130311614731
0,12,3,47.85245934113824,11.549295774647886,11.549295774647886,12.376933895921237,12.376933895921237,48.38028169014085,48.38028169014085,47.257383966244724,47.257383966244724
0,12,4,44.74436689930209,13.1,13.1,9.272183449651047,9.272183449651047,42.2,42.2,28.11565304087737,28.11565304087737
0,13,0,45.390709800460556,10.123456790123457,10.123456790123457,12.57189811010682,12.57189811010682,45.02057613168724,45.02057613168724,42.15283483976992,42.15283483976992
0,13,1,39.31277200151131,9.03765690376569,9.03765690376569,10.618729096989966,10.618729096989966,41.50627615062761,41.50627615062761,41.38795986622073,41.38795986622073
0,13,2,51.590018684829126,11.27659574468085,11.27659574468085,14.51841359773371,14.51841359773371,56.31205673758865,56.31205673758865,37.18130311614731,37.18130311614731
0,13,3,47.85245934113824,11.549295774647886,11.549295774647886,12.376933895921237,12.376933895921237,48.38028169014085,48.38028169014085,47.257383966244724,47.257383966244724
0,13,4,44.74436689930209,13.1,13.1,9.272183449651047,9.272183449651047,42.2,42.2,28.11565304087737,28.11565304087737
0,14,0,45.390709800460556,10.123456790123457,10.123456790123457,12.57189811010682,12.57189811010682,45.02057613168724,45.02057613168724,42.15283483976992,42.15283483976992
0,14,1,39.31277200151131,9.03765690376569,9.03765690376569,10.618729096989966,10.618729096989966,41.50627615062761,41.50627615062761,41.38795986622073,41.38795986622073
0,14,2,51.590018684829126,11.27659574468085,11.27659574468085,14.51841359773371,14.51841359773371,56.31205673758865,56.31205673758865,37.18130311614731,37.18130311614731
0,14,3,47.85245934113824,11.549295774647886,11.549295774647886,12.376933895921237,12.376933895921237,48.38028169014085,48.38028169014085,47.257383966244724,47.257383966244724
0,14,4,44.74436689930209,13.1,13.1,9.272183449651047,9.272183449651047,42.2,42.2,28.11565304087737,28.11565304087737
